"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","module","receiver"
"Ngf",0.451851247091471,0.00408439353440324,-0.000830709235927417,-0.00899321709251247,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Nid1",0.408816499072443,0.00380258537973476,-0.00111251739059589,-0.0207609311643905,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Nlgn2",0.489910329155942,0.00477180765617094,-0.000143295114159709,-0.000389918098366314,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Nppa",0.435908251804072,0.00395175755957203,-0.000963345210758628,-0.0122151740018705,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Nrp1",0.433268472783513,0.00393653592156964,-0.000978566848761008,-0.0118873045881004,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Nrxn2",0.514679802061918,0.00510764221604977,0.000192539445719121,0.00159785130273091,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ntn1",0.445047692914776,0.00399600113350929,-0.000919101636821368,-0.0126434776417705,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Pam",0.371047701986182,0.0034976103551317,-0.00141749241519895,-0.0267122016921748,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Pdgfa",0.47285608668634,0.00438902304185876,-0.000526079728471888,-0.00833633067085177,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Pecam1",0.434066756473577,0.0039329563665236,-0.000982146403807052,-0.0140937278303959,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Penk",0.420854254262423,0.00391377732059746,-0.0010013254497332,-0.0127217427518876,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Pf4",0.460269511459451,0.00505418692461197,0.000139084154281317,0.0288496767901916,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Pgf",0.48257156205067,0.00435634919020917,-0.000558753580121483,-0.00623331735468245,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Pi16",0.451193570187721,0.00409204429206927,-0.000823058478261386,-0.0146333757153043,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Plat",0.429526517986321,0.0039247673566184,-0.000990335413712249,-0.0138040627959421,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Plekho2",0.437305248261688,0.00403790755755472,-0.000877195212775936,-0.0147906094600035,"Fibroblasts","lightcyan","SmoothMuscleCells"
