source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
Leukocytes,EndothelialCells,Alcam,Nrp1,1.0671949,0.0,0.67215025,0.6559838064670749,0.81135680805031,0.14344212,0.81406444,0.020123205913783963,0.15043807918220814, ,,,brown,0.648185002416343,False,True,True
EndocardialCells,EndocardialCells,Ntn1,Mcam,0.9329834,0.0,0.8637917,0.5772547630017899,0.6298009746869914,0.084148414,0.83230674,0.028541536280802495,0.15043807918220814, ,brown,0.425522037629137,blue,0.63829955562001,True,False,True
Myocytes,Myocytes,C1qb,Lrp1,0.13083857,1.0,0.017111091,-0.5318798751386176,-0.9437711461787746,0.0023131003,0.41126513,1.0,0.15089657006498342, ,brown,0.759344460789136,,,True,False,True
SmoothMuscleCells,EndocardialCells,Tgfb1,Eng,1.1369147,0.0,0.6711977,0.39643370412784396,0.2814185835226584,0.037430856,0.81395715,0.2266482385434562,0.15121763718451858, ,brown,0.732384831866489,brown,0.973204830554305,True,True,True
Fibroblasts,EndocardialCells,Tnxb,Itga9_Itgb1,0.9325006,0.0,0.7684275,0.7215157700752987,1.2601833320932847,0.22422206,0.8239834,0.007731403673592943,0.1515299732274333, ,brown,0.534296365095982,,,True,False,True
EndothelialCells,SmoothMuscleCells,Hspg2,Sdc1,0.94681466,0.0,0.66696113,0.6407541044643099,0.7436287585847665,0.13690238,0.8134773,0.028541536280802495,0.15356705269207122, ,brown,0.70755077011452,purple,0.260770464928019,True,False,True
Myocytes,SmoothMuscleCells,Col1a2,Flt4,0.14867032,1.0,0.017252758,-0.4080291195767914,-0.6081809420180984,0.004855204,0.41226366,1.0,0.15474699626281788, ,,,tan,0.230468949826405,False,True,True
SmoothMuscleCells,Fibroblasts,Pros1,Axl,0.9298443,0.0,0.68044215,0.35242460613294085,0.6246644950921318,0.060089394,0.8149906,0.03988846160145762,0.15482663281942521, ,lightcyan,0.293353642967409,brown,0.528957135069456,True,True,True
SmoothMuscleCells,SmoothMuscleCells,Mfge8,Itgav,1.0556337,0.0,0.6650617,0.5979735072595174,0.5150362495522365,0.060762357,0.8132608,0.03791317729540172,0.15498440448933304, ,lightcyan,0.510462651252352,blue,0.303344082519337,True,False,True
EndocardialCells,Fibroblasts,Igfbp4,Lrp6,0.9633925,0.0,0.6648429,0.39723419816920297,0.3236443000686166,0.055931192,0.8132358,0.05203036253999891,0.15514224726407969, ,brown,0.565703353366091,turquoise,0.505701638095615,True,False,True
