,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Adm^Calcrl,0.0016036512798727398,0.014339731621933909,0.033937381062776814,0.0014967876060396907,0.011775428418648032,0.022783266526043254,3.3841573149265754e-14,0.012329645438671778
Adm^Gpr182,3.7561255007045863e-54,0.016546700030629434,0.042188886642803104,0.00015197618663769687,0.00019551991775537244,0.014001665851689589,2.581697224063642e-16,2.4759569143247455e-06
Adm^Pth1r,2.4388240335899586e-45,0.001243275132730316,0.005893843421597925,0.014292574814619275,0.008653406763495377,0.0026723548969769147,1.2160291490656456e-15,0.0237447402099936
Adm^Ramp1,0.01236337912209565,2.593841909829424e-11,4.99065005712245e-20,0.04431141430303412,0.004979838497955974,0.009459231759332165,8.271698254223343e-18,0.006290066795235014
Adm^Ramp2,5.9711972917236164e-12,0.02170244563371603,0.07668931844474822,0.00017556873320345175,0.02301969379186034,0.02734184633791848,4.0858583964859113e-17,0.03974302351458772
Adm^Ramp3,0.0005933582287075974,0.006307450681819576,0.02445388446279043,0.0023589259092450907,1.0391443662125592e-15,0.001211638386270874,3.3273053516794935e-23,1.6359539923151384e-09
Ado^Adora2a,0.000414152241757639,0.012518877248775442,0.03377181648873711,0.016863197651468338,9.107976283355667e-12,6.35693251535568e-05,0.010587992098120579,0.0009864160480047791
Ado^Adora2b,0.006523207314191232,1.6132206697870586e-11,2.3234008293071123e-23,0.015236680545141042,1.8965118056133178e-06,0.0018455644645434222,0.001713769458102679,0.0010647133398277802
Agrn^Dag1,7.945069821167583e-14,0.026475924370759296,0.009265777693381164,0.027875530997688427,0.028595651126344046,0.0038793645747988736,9.316103306028458e-12,0.006937238801937589
Agrn^Itgb1,0.02530963115278522,0.08338659360328873,0.02851618146511576,0.04141029346253892,0.05976248006815981,0.006668060255090735,1.4055725378682052e-14,0.008531355508114494
Agrn^Lrp1,0.0223567718253644,0.0015775893610998812,5.6186238087877155e-14,0.008308777575915818,0.08887161397065346,0.002412516877912761,1.3301016096425187e-17,0.014914676755362215
