"gene_celltype","module","celltype","gene","kME","is_hub"
"2410075B13Rik_EndocardialCells","blue","EndocardialCells","2410075B13Rik",0.60317354636955,FALSE
"2410089E03Rik_EndocardialCells","blue","EndocardialCells","2410089E03Rik",0.454886608624269,FALSE
"2410091C18Rik_EndocardialCells","cyan","EndocardialCells","2410091C18Rik",0.602334540561055,FALSE
"2410127L17Rik_EndocardialCells","blue","EndocardialCells","2410127L17Rik",0.611148008583149,FALSE
"2410131K14Rik_EndocardialCells","red","EndocardialCells","2410131K14Rik",0.314734197106431,FALSE
"2500004C02Rik_EndocardialCells","red","EndocardialCells","2500004C02Rik",0.257126038194836,FALSE
"2510003E04Rik_EndocardialCells","lightgreen","EndocardialCells","2510003E04Rik",0.213928007772849,FALSE
"2510009E07Rik_EndocardialCells","blue","EndocardialCells","2510009E07Rik",0.444880815780406,FALSE
"2510012J08Rik_EndocardialCells","red","EndocardialCells","2510012J08Rik",0.50133079081995,FALSE
"2600006L11Rik_EndocardialCells","turquoise","EndocardialCells","2600006L11Rik",0.140138090302517,FALSE
"2610005L07Rik_EndocardialCells","red","EndocardialCells","2610005L07Rik",0.572386331794433,FALSE
"2610008E11Rik_EndocardialCells","blue","EndocardialCells","2610008E11Rik",0.471739572154876,FALSE
"2610015P09Rik_EndocardialCells","darkred","EndocardialCells","2610015P09Rik",0.454211237564891,FALSE
"2610019E17Rik_EndocardialCells","purple","EndocardialCells","2610019E17Rik",0.518577826779822,FALSE
"2610027L16Rik_EndocardialCells","red","EndocardialCells","2610027L16Rik",0.392264903617993,FALSE
"2610035D17Rik_EndocardialCells","purple","EndocardialCells","2610035D17Rik",0.504721785245442,FALSE
"2610044O15Rik_EndocardialCells","yellow","EndocardialCells","2610044O15Rik",0.515815408908803,TRUE
"2610204G22Rik_EndocardialCells","cyan","EndocardialCells","2610204G22Rik",0.599934271264348,FALSE
"2610206C17Rik_EndocardialCells","green","EndocardialCells","2610206C17Rik",0.253570178371026,FALSE
"2610301B20Rik_EndocardialCells","brown","EndocardialCells","2610301B20Rik",0.624611101904352,FALSE
"2610301G19Rik_EndocardialCells","purple","EndocardialCells","2610301G19Rik",0.466652071940526,FALSE
"2610305D13Rik_EndocardialCells","red","EndocardialCells","2610305D13Rik",0.322231591568447,FALSE
"2610306M01Rik_EndocardialCells","purple","EndocardialCells","2610306M01Rik",0.368844705188973,FALSE
"2610307P16Rik_EndocardialCells","red","EndocardialCells","2610307P16Rik",0.710581715203912,TRUE
"2610318N02Rik_EndocardialCells","yellow","EndocardialCells","2610318N02Rik",0.309275008869899,FALSE
"2610507B11Rik_EndocardialCells","blue","EndocardialCells","2610507B11Rik",0.474147282517551,FALSE
"2610524H06Rik_EndocardialCells","royalblue","EndocardialCells","2610524H06Rik",0.363789205047318,FALSE
"2700038G22Rik_EndocardialCells","red","EndocardialCells","2700038G22Rik",0.577773544880142,FALSE
"2700049A03Rik_EndocardialCells","red","EndocardialCells","2700049A03Rik",0.507988186403172,FALSE
"2700050L05Rik_EndocardialCells","darkred","EndocardialCells","2700050L05Rik",0.689465483831352,FALSE
"2700062C07Rik_EndocardialCells","red","EndocardialCells","2700062C07Rik",0.563767298150817,FALSE
"2700070H01Rik_EndocardialCells","steelblue","EndocardialCells","2700070H01Rik",0.291424481409411,FALSE
"2700078E11Rik_EndocardialCells","darkred","EndocardialCells","2700078E11Rik",0.434668631987947,FALSE
"2700081O15Rik_EndocardialCells","blue","EndocardialCells","2700081O15Rik",0.640159757909364,FALSE
"2810001G20Rik_EndocardialCells","cyan","EndocardialCells","2810001G20Rik",0.479387472383642,FALSE
"2810002N01Rik_EndocardialCells","cyan","EndocardialCells","2810002N01Rik",0.600230680748814,FALSE
"2810004N23Rik_EndocardialCells","blue","EndocardialCells","2810004N23Rik",0.542110093640639,FALSE
"2810006K23Rik_EndocardialCells","blue","EndocardialCells","2810006K23Rik",0.418721756867048,FALSE
"2810008D09Rik_EndocardialCells","lightcyan","EndocardialCells","2810008D09Rik",0.18042705916786,FALSE
"2810008M24Rik_EndocardialCells","purple","EndocardialCells","2810008M24Rik",0.30212096784953,FALSE
"2810013P06Rik_EndocardialCells","red","EndocardialCells","2810013P06Rik",0.550290900920327,FALSE
"2810025M15Rik_EndocardialCells","brown","EndocardialCells","2810025M15Rik",0.444403509612351,FALSE
"2810046L04Rik_EndocardialCells","darkred","EndocardialCells","2810046L04Rik",0.699141920940805,FALSE
"2810055F11Rik_EndocardialCells","brown","EndocardialCells","2810055F11Rik",0.859054158732388,TRUE
"2810403D21Rik_EndocardialCells","brown","EndocardialCells","2810403D21Rik",0.563065324631545,FALSE
"2810405K02Rik_EndocardialCells","darkgrey","EndocardialCells","2810405K02Rik",0.587635740566736,FALSE
"2810407C02Rik_EndocardialCells","turquoise","EndocardialCells","2810407C02Rik",0.466683892463848,FALSE
"2810408M09Rik_EndocardialCells","purple","EndocardialCells","2810408M09Rik",0.485652928849094,FALSE
"2810432D09Rik_EndocardialCells","red","EndocardialCells","2810432D09Rik",0.632622799459353,FALSE
"2810432L12Rik_EndocardialCells","blue","EndocardialCells","2810432L12Rik",0.717980668653255,TRUE
"2810454H06Rik_EndocardialCells","darkolivegreen","EndocardialCells","2810454H06Rik",0.224415157229542,FALSE
"2810468N07Rik_EndocardialCells","paleturquoise","EndocardialCells","2810468N07Rik",0.615828723598525,TRUE
"2900005J15Rik_EndocardialCells","cyan","EndocardialCells","2900005J15Rik",0.487745525984542,FALSE
"2900009J06Rik_EndocardialCells","red","EndocardialCells","2900009J06Rik",0.547807515940998,FALSE
"2900010M23Rik_EndocardialCells","blue","EndocardialCells","2900010M23Rik",0.595694797526169,FALSE
"2900026A02Rik_EndocardialCells","lightcyan","EndocardialCells","2900026A02Rik",0.433020030127497,FALSE
"2900056M20Rik_EndocardialCells","red","EndocardialCells","2900056M20Rik",0.395418207143065,FALSE
"2900060B14Rik_EndocardialCells","darkred","EndocardialCells","2900060B14Rik",0.613090310665047,FALSE
"2900076A07Rik_EndocardialCells","red","EndocardialCells","2900076A07Rik",0.601013848982133,FALSE
"2900097C17Rik_EndocardialCells","turquoise","EndocardialCells","2900097C17Rik",0.513389488314141,FALSE
"3110001I22Rik_EndocardialCells","blue","EndocardialCells","3110001I22Rik",0.399404277591343,FALSE
"3110003A17Rik_EndocardialCells","pink","EndocardialCells","3110003A17Rik",0.240264955138815,FALSE
"3110009E18Rik_EndocardialCells","salmon","EndocardialCells","3110009E18Rik",0.43719486467477,FALSE
"3110040N11Rik_EndocardialCells","blue","EndocardialCells","3110040N11Rik",0.635509600827487,FALSE
"3110043O21Rik_EndocardialCells","blue","EndocardialCells","3110043O21Rik",0.544499602429825,FALSE
"3110052M02Rik_EndocardialCells","red","EndocardialCells","3110052M02Rik",0.547374712623131,FALSE
"3110057O12Rik_EndocardialCells","blue","EndocardialCells","3110057O12Rik",0.444832276821424,FALSE
"3110062M04Rik_EndocardialCells","purple","EndocardialCells","3110062M04Rik",0.379798467435763,FALSE
"3110070M22Rik_EndocardialCells","purple","EndocardialCells","3110070M22Rik",0.662439515733647,FALSE
"3110082I17Rik_EndocardialCells","darkred","EndocardialCells","3110082I17Rik",0.572672117207889,FALSE
"3300002I08Rik_EndocardialCells","yellow","EndocardialCells","3300002I08Rik",0.571936248615651,TRUE
"3830406C13Rik_EndocardialCells","yellow","EndocardialCells","3830406C13Rik",0.217010007065848,FALSE
"3830408C21Rik_EndocardialCells","darkturquoise","EndocardialCells","3830408C21Rik",0.17755812937098,FALSE
"4632415K11Rik_EndocardialCells","red","EndocardialCells","4632415K11Rik",0.375784835685043,FALSE
"4632415L05Rik_EndocardialCells","blue","EndocardialCells","4632415L05Rik",0.460447324381312,FALSE
"4632427E13Rik_EndocardialCells","greenyellow","EndocardialCells","4632427E13Rik",0.590998867494948,FALSE
