"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1173","EndothelialCells","GO:1901343","negative regulation of vasculature development","8/145","98/13010",0.0816326530612245,7.32441942294159,6.67172298256551,1.32533542513353e-05,0.0107042924503285,0.0100865001302268,"Ccl2/Cxcl10/Gpr4/Ptprm/Serpine1/Serpinf1/Tek/Tie1",8,"royalblue","GO_BP"
"1174","EndothelialCells","GO:0045765","regulation of angiogenesis","12/145","260/13010",0.0461538461538462,4.14111405835544,5.4314570648445,3.37709017034777e-05,0.0200549557437572,0.0188974950618891,"C3/Ccl2/Cxcl10/Gpr4/Hpse/Ptprm/Serpine1/Serpinf1/Sfrp2/Smoc2/Tek/Tie1",12,"royalblue","GO_BP"
"1175","EndothelialCells","GO:1901342","regulation of vasculature development","12/145","267/13010",0.0449438202247191,4.03254552499031,5.3153048906417,4.37625350792714e-05,0.0200549557437572,0.0188974950618891,"C3/Ccl2/Cxcl10/Gpr4/Hpse/Ptprm/Serpine1/Serpinf1/Sfrp2/Smoc2/Tek/Tie1",12,"royalblue","GO_BP"
"1176","EndothelialCells","GO:0031640","killing of cells of another organism","6/145","61/13010",0.0983606557377049,8.82532504239683,6.50354651457495,5.793837812889e-05,0.0200549557437572,0.0188974950618891,"C3/Cxcl10/Fgl2/Lyz1/Pglyrp1/Rps19",6,"royalblue","GO_BP"
"1177","EndothelialCells","GO:0141061","disruption of cell in another organism","6/145","61/13010",0.0983606557377049,8.82532504239683,6.50354651457495,5.793837812889e-05,0.0200549557437572,0.0188974950618891,"C3/Cxcl10/Fgl2/Lyz1/Pglyrp1/Rps19",6,"royalblue","GO_BP"
"1178","EndothelialCells","GO:0141060","disruption of anatomical structure in another organism","6/145","63/13010",0.0952380952380952,8.54515599343186,6.37316241840365,6.9614836350428e-05,0.0210845935596359,0.0198677079005366,"C3/Cxcl10/Fgl2/Lyz1/Pglyrp1/Rps19",6,"royalblue","GO_BP"
"1179","EndothelialCells","GO:0060055","angiogenesis involved in wound healing","4/145","24/13010",0.166666666666667,14.9540229885057,7.26387594253586,0.000132243904999987,0.0356029979794409,0.0335481906368387,"Gpr4/Hpse/Serpine1/Smoc2",4,"royalblue","GO_BP"
"1180","EndothelialCells","GO:0001738","morphogenesis of a polarized epithelium","5/145","49/13010",0.102040816326531,9.15552427867699,6.07199957277854,0.000206249833625222,0.0499743346873914,0.0470900935929587,"Fat1/Intu/Ptk7/Rab10/Sfrp2",5,"royalblue","GO_BP"
"1181","Fibroblasts","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","5/73","16/13010",0.3125,55.6934931506849,16.4433696384879,2.01481756824742e-08,3.60450862959463e-05,3.16220315184937e-05,"Cd74/Fcer1g/H2-Aa/H2-Ab1/H2-Eb1",5,"royalblue","GO_BP"
"1182","Fibroblasts","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","5/73","19/13010",0.263157894736842,46.8997837058399,15.039477417869,5.29386387900952e-08,4.73536123977402e-05,4.15429002294905e-05,"Cd74/Fcer1g/H2-Aa/H2-Ab1/H2-Eb1",5,"royalblue","GO_BP"
