"gene_celltype","module","celltype","gene","kME"
"Rbm12b_Fibroblasts","turquoise","Fibroblasts","Rbm12b",0.749647389552893
"Lrrc45_EndothelialCells","turquoise","EndothelialCells","Lrrc45",0.749280676508203
"Stx4a_Fibroblasts","turquoise","Fibroblasts","Stx4a",0.749235023777542
"Rbm24_Myocytes","turquoise","Myocytes","Rbm24",0.74898169436054
"Rpl6_Leukocytes","turquoise","Leukocytes","Rpl6",0.748958715945788
"Rab5a_Leukocytes","turquoise","Leukocytes","Rab5a",0.748924395103363
"D10Wsu102e_EndothelialCells","turquoise","EndothelialCells","D10Wsu102e",0.748870771717548
"Sdc3_EndothelialCells","turquoise","EndothelialCells","Sdc3",0.748559297595386
"Pcdh7_Fibroblasts","turquoise","Fibroblasts","Pcdh7",0.748516473364763
"Dguok_Leukocytes","turquoise","Leukocytes","Dguok",0.748478467780913
"Hist2h3c2_EndothelialCells","turquoise","EndothelialCells","Hist2h3c2",0.748465760728235
"Fcrls_Leukocytes","turquoise","Leukocytes","Fcrls",0.748407442406513
"Stox2_Fibroblasts","turquoise","Fibroblasts","Stox2",0.748366114944977
"Plcd3_Fibroblasts","turquoise","Fibroblasts","Plcd3",0.748237391373104
"Setdb1_EndothelialCells","turquoise","EndothelialCells","Setdb1",0.748223776944388
"Armcx5_EndothelialCells","turquoise","EndothelialCells","Armcx5",0.747969852396725
"Slc41a3_EndothelialCells","turquoise","EndothelialCells","Slc41a3",0.747755353331517
"Arhgap12_EndothelialCells","turquoise","EndothelialCells","Arhgap12",0.74742729638713
"Gm14420_Fibroblasts","turquoise","Fibroblasts","Gm14420",0.747273771613114
"Map3k7_EndothelialCells","turquoise","EndothelialCells","Map3k7",0.747255942255317
"Tdp2_EndothelialCells","turquoise","EndothelialCells","Tdp2",0.74720500851876
"Eif1b_Leukocytes","turquoise","Leukocytes","Eif1b",0.747170367097817
"Kptn_EndothelialCells","turquoise","EndothelialCells","Kptn",0.747114499586655
"Slc24a5_EndothelialCells","turquoise","EndothelialCells","Slc24a5",0.747055719808354
"Ube2e1_Leukocytes","turquoise","Leukocytes","Ube2e1",0.746996885213757
"Rpl41_Leukocytes","turquoise","Leukocytes","Rpl41",0.746866022414916
"Rps8_Leukocytes","turquoise","Leukocytes","Rps8",0.746739497490004
"Cdyl_Fibroblasts","turquoise","Fibroblasts","Cdyl",0.746594116993844
"Atp5l_EndocardialCells","turquoise","EndocardialCells","Atp5l",0.746470466450967
"Man2b1_Leukocytes","turquoise","Leukocytes","Man2b1",0.746310856178815
"Hus1_EndothelialCells","turquoise","EndothelialCells","Hus1",0.746272394322744
"2310016M24Rik_Leukocytes","turquoise","Leukocytes","2310016M24Rik",0.746219866231735
"Zkscan3_EndothelialCells","turquoise","EndothelialCells","Zkscan3",0.746213340170907
"Rbx1_Leukocytes","turquoise","Leukocytes","Rbx1",0.746196547889622
"Mmrn2_EndothelialCells","turquoise","EndothelialCells","Mmrn2",0.746193022863879
"Cnrip1_Fibroblasts","turquoise","Fibroblasts","Cnrip1",0.746131878729705
"Dazap1_EndothelialCells","turquoise","EndothelialCells","Dazap1",0.746123488294757
"Filip1_Fibroblasts","turquoise","Fibroblasts","Filip1",0.745466042354822
"Prdm5_Fibroblasts","turquoise","Fibroblasts","Prdm5",0.745384842633559
"Ypel3_Leukocytes","turquoise","Leukocytes","Ypel3",0.745384415713423
"Haus7_EndothelialCells","turquoise","EndothelialCells","Haus7",0.745343150976086
"Kcnk13_Leukocytes","turquoise","Leukocytes","Kcnk13",0.745310818299917
"Mtap6_EndothelialCells","turquoise","EndothelialCells","Mtap6",0.745236306350614
"Icam2_EndothelialCells","turquoise","EndothelialCells","Icam2",0.745197121020031
"Prpf38a_EndothelialCells","turquoise","EndothelialCells","Prpf38a",0.74518859939191
"Gm20257_EndothelialCells","turquoise","EndothelialCells","Gm20257",0.745121353833615
"Tubg2_Fibroblasts","turquoise","Fibroblasts","Tubg2",0.744934541564296
"9530091C08Rik_Fibroblasts","turquoise","Fibroblasts","9530091C08Rik",0.744602254558973
"9830001H06Rik_Fibroblasts","turquoise","Fibroblasts","9830001H06Rik",0.744553428890869
"Lgals8_Leukocytes","turquoise","Leukocytes","Lgals8",0.744519861570146
"Dnm3_EndothelialCells","turquoise","EndothelialCells","Dnm3",0.744244125267557
"Pde10a_EndothelialCells","turquoise","EndothelialCells","Pde10a",0.744217635348956
"Itfg2_Fibroblasts","turquoise","Fibroblasts","Itfg2",0.743915766075583
"Ctla2b_Leukocytes","turquoise","Leukocytes","Ctla2b",0.743856373253544
"Ankzf1_EndothelialCells","turquoise","EndothelialCells","Ankzf1",0.743836049982457
"Parp6_Fibroblasts","turquoise","Fibroblasts","Parp6",0.743689208576423
"Pbx2_EndothelialCells","turquoise","EndothelialCells","Pbx2",0.743682701525982
"Tspan17_Leukocytes","turquoise","Leukocytes","Tspan17",0.7436171722885
"Dnajc1_EndothelialCells","turquoise","EndothelialCells","Dnajc1",0.74320786234362
"A930004D18Rik_EndothelialCells","turquoise","EndothelialCells","A930004D18Rik",0.743037891401711
"2810407C02Rik_Leukocytes","turquoise","Leukocytes","2810407C02Rik",0.742989901820983
"Tceb2_Leukocytes","turquoise","Leukocytes","Tceb2",0.742586400316638
"Myh10_Fibroblasts","turquoise","Fibroblasts","Myh10",0.742255064097967
"Rtn4rl1_Fibroblasts","turquoise","Fibroblasts","Rtn4rl1",0.742214019614754
"1600012F09Rik_EndothelialCells","turquoise","EndothelialCells","1600012F09Rik",0.74162548075096
"Arl6ip6_EndothelialCells","turquoise","EndothelialCells","Arl6ip6",0.741422016735006
"Icmt_Fibroblasts","turquoise","Fibroblasts","Icmt",0.741377461609891
"4921524J17Rik_EndothelialCells","turquoise","EndothelialCells","4921524J17Rik",0.741206016529162
"6030408B16Rik_Fibroblasts","turquoise","Fibroblasts","6030408B16Rik",0.741150044644981
"Parp10_EndothelialCells","turquoise","EndothelialCells","Parp10",0.741091298760979
"Sh3bgrl_Leukocytes","turquoise","Leukocytes","Sh3bgrl",0.741090914938205
"Tmco1_EndothelialCells","turquoise","EndothelialCells","Tmco1",0.740952431586359
